experiment,Date,Time,Months,Ring,Plot,Rep,Mesh,Trt,InitialMass.g,RemainingMass.g,propMassRem,propMassRem.trans
expt1,2014-11-12,18,17.9,R4,4,2,2mm,elevated,2.01,0.02,0.009950248756218907,0.09991710316799085
expt1,2014-11-12,18,17.9,R5,1,1,2mm,elevated,2.04,0.01,0.004901960784313725,0.07007133173326693
expt1,2014-11-12,18,17.9,R5,1,2,2mm,elevated,2.06,0.01,0.0048543689320388345,0.06972979490944202
expt1,2014-11-12,18,17.9,R5,2,1,2mm,elevated,2,0,0,0
expt1,2014-11-12,18,17.9,R5,2,2,2mm,elevated,2.07,0.04,0.019323671497584544,0.13946124376001834
expt1,2014-11-12,18,17.9,R5,3,1,2mm,elevated,2.09,0.04,0.019138755980861247,0.13878802232775755
expt1,2014-11-12,18,17.9,R5,3,2,2mm,elevated,2,0.17,0.085,0.295844321213272
expt1,2014-11-12,18,17.9,R5,4,1,2mm,elevated,2.04,0.01,0.004901960784313725,0.07007133173326693
expt1,2014-11-12,18,17.9,R5,4,2,2mm,elevated,2.07,0.01,0.004830917874396136,0.06956088869374982
expt1,2014-11-12,18,17.9,R6,1,1,2mm,ambient,2.04,0,0,0
expt1,2014-11-12,18,17.9,R6,1,2,2mm,ambient,2.08,0,0,0
expt1,2014-11-12,18,17.9,R6,2,1,2mm,ambient,2.07,0.37,0.17874396135265702,0.4365121268682133
expt1,2014-11-12,18,17.9,R6,2,2,2mm,ambient,2.04,0.05,0.024509803921568627,0.157202757467053
expt1,2014-11-12,18,17.9,R6,3,1,2mm,ambient,2.08,0.08,0.038461538461538464,0.19739555984988078
expt1,2014-11-12,18,17.9,R6,3,2,2mm,ambient,2.02,0.01,0.0049504950495049506,0.07041793678320862
expt1,2014-11-12,18,17.9,R6,4,1,2mm,ambient,2.05,0.26,0.12682926829268293,0.3641241128934488
expt1,2014-11-12,18,17.9,R6,4,2,2mm,ambient,2.03,0.04,0.01970443349753695,0.14083761086045946
expt1,2015-03-19,24,22,R1,1,1,2mm,elevated,2.01,0.08,0.03980099502487563,0.2008495425081298
expt1,2015-03-19,24,22,R1,1,2,2mm,elevated,2.02,0.01,0.0049504950495049506,0.07041793678320862
